id,name,phone,email,domain,address,city,zip,country
90,Zoomcast,364-581-3136,contact@zoomcast.com,Finance,86556 Mcbride Way,Lille,59000,France
91,Gigazoom,348-469-0245,contact@gigazoom.com,Basic Industries,455 Moland Drive,Nantes,44000,France
92,Brightdog,418-275-0603,contact@brightdog.com,Finance,00051 Spohn Lane,Nantes,44000,France
93,Thoughtworks,478-917-4758,contact@thoughtworks.com,n/a,9 Surrey Hill,Paris,75000,France
94,Gigashots,895-648-6243,contact@gigashots.com,Consumer Services,51594 Oxford Parkway,Rennes,35000,France
95,Pixoboo,108-584-4526,contact@pixoboo.com,Public Utilities,653 Summit Alley,Lille,59000,France
96,Abatz,613-925-5529,contact@abatz.com,Health Care,51921 Garrison Point,Rennes,35000,France
97,Mynte,862-357-8114,contact@mynte.com,Consumer Services,500 Stone Corner Street,Paris,75000,France
98,Podcat,607-785-0953,contact@podcat.com,Finance,5393 Canary Street,Rennes,35000,France
99,Janyx,429-413-3327,contact@janyx.com,n/a,4824 Stang Plaza,Lille,59000,France
100,Tagcat,266-162-5383,contact@tagcat.com,Finance,785 Bay Street,Paris,75000,France
101,Feednation,201-466-8031,contact@feednation.com,Capital Goods,7889 Brown Drive,Nantes,44000,France
102,Tekfly,209-648-6140,contact@tekfly.com,Technology,6 Myrtle Lane,Paris,75000,France
103,Podcat,349-404-7448,contact@podcat.com,n/a,785 Independence Park,Lille,59000,France
104,Fliptune,776-564-0063,contact@fliptune.com,n/a,573 Redwing Court,Rennes,35000,France
105,Gigabox,572-962-4013,contact@gigabox.com,Consumer Services,7663 Express Avenue,Lille,59000,France
106,Skaboo,272-335-3815,contact@skaboo.com,Consumer Non-Durables,88994 Ohio Park,Lille,59000,France
107,Abata,275-429-6228,contact@abata.com,n/a,53522 High Crossing Circle,Paris,75000,France
108,Wikido,210-158-1482,contact@wikido.com,Consumer Non-Durables,10 Florence Point,Paris,75000,France
109,Ailane,978-187-7493,contact@ailane.com,Finance,08 Judy Trail,Rennes,35000,France
110,Reallinks,949-800-0117,contact@reallinks.com,n/a,1390 Golf Course Avenue,Nantes,44000,France
111,Tagcat,924-685-3180,contact@tagcat.com,Miscellaneous,2960 Menomonie Pass,Paris,75000,France
112,Roombo,413-326-0600,contact@roombo.com,Finance,25872 Division Parkway,Lille,59000,France
113,Vidoo,348-288-6816,contact@vidoo.com,Finance,2687 Carioca Alley,Nantes,44000,France
114,Bluejam,501-311-7829,contact@bluejam.com,Transportation,46 Cardinal Hill,Rennes,35000,France
115,Jabberbean,496-310-2843,contact@jabberbean.com,Public Utilities,2 South Street,Rennes,35000,France
116,Skiptube,564-936-3172,contact@skiptube.com,Consumer Services,51303 Tony Court,Nantes,44000,France
117,Divape,673-675-7900,contact@divape.com,Consumer Services,91 Elmside Junction,Nantes,44000,France
118,Trudeo,636-913-6178,contact@trudeo.com,Technology,0557 Morrow Street,Rennes,35000,France
119,Yodo,731-745-8868,contact@yodo.com,Consumer Services,3 Lerdahl Drive,Rennes,35000,France
120,Oloo,970-172-9130,contact@oloo.com,n/a,187 Canary Crossing,Rennes,35000,France
121,Youspan,574-904-4627,contact@youspan.com,Health Care,1595 Merchant Court,Lille,59000,France
122,Twitterwire,481-715-4064,contact@twitterwire.com,Consumer Services,3398 Sutteridge Pass,Rennes,35000,France
123,Browsecat,850-815-9958,contact@browsecat.com,n/a,9111 Acker Park,Rennes,35000,France
124,Meeveo,494-799-4109,contact@meeveo.com,Health Care,57590 Pine View Point,Nantes,44000,France
125,Mydo,127-426-9011,contact@mydo.com,Capital Goods,57823 Warner Lane,Lille,59000,France
126,Tagfeed,360-436-6609,contact@tagfeed.com,n/a,921 Lakewood Gardens Plaza,Paris,75000,France
127,Zoonder,921-897-0577,contact@zoonder.com,Finance,9149 Dawn Parkway,Paris,75000,France
128,Centizu,614-730-0865,contact@centizu.com,Capital Goods,248 Hollow Ridge Hill,Rennes,35000,France
129,Mybuzz,652-197-5727,contact@mybuzz.com,Basic Industries,10232 Declaration Lane,Rennes,35000,France
130,Jayo,592-993-2999,contact@jayo.com,Health Care,24 Dixon Hill,Nantes,44000,France
131,Agivu,215-431-1455,contact@agivu.com,n/a,3104 Sycamore Road,Rennes,35000,France
132,Kayveo,278-842-1353,contact@kayveo.com,n/a,64020 Springview Place,Paris,75000,France
133,Mynte,220-778-2592,contact@mynte.com,Public Utilities,34505 Reindahl Hill,Lille,59000,France
134,Photobug,296-818-6470,contact@photobug.com,n/a,4 Declaration Park,Paris,75000,France
135,Fivebridge,223-684-9474,contact@fivebridge.com,Capital Goods,51 Pierstorff Terrace,Paris,75000,France
136,Divanoodle,943-938-8080,contact@divanoodle.com,Consumer Services,42192 Eggendart Center,Nantes,44000,France
137,Skyble,473-962-4437,contact@skyble.com,Consumer Durables,5614 David Way,Lille,59000,France
138,Yabox,523-988-9509,contact@yabox.com,Health Care,5 Forster Junction,Paris,75000,France
139,Blognation,375-597-1194,contact@blognation.com,Finance,277 Ryan Point,Paris,75000,France
140,Wikibox,800-399-3826,contact@wikibox.com,n/a,0 Shelley Park,Paris,75000,France
141,Skajo,856-694-9028,contact@skajo.com,Finance,396 Logan Junction,Lille,59000,France
142,Flipbug,237-972-1022,contact@flipbug.com,n/a,4576 Scott Crossing,Paris,75000,France
143,Yakijo,610-844-0272,contact@yakijo.com,Consumer Services,4531 Birchwood Drive,Lille,59000,France
144,Aivee,957-824-1671,contact@aivee.com,Finance,6705 Calypso Park,Paris,75000,France
145,Photobean,645-606-8198,contact@photobean.com,Consumer Services,748 Redwing Circle,Nantes,44000,France
146,Thoughtbeat,916-760-7207,contact@thoughtbeat.com,n/a,9 Arkansas Lane,Nantes,44000,France
147,Shuffledrive,347-824-9248,contact@shuffledrive.com,n/a,6 Eastlawn Trail,Paris,75000,France
148,Thoughtbeat,821-901-2147,contact@thoughtbeat.com,n/a,0 Alpine Way,Lille,59000,France
149,Yoveo,670-354-7014,contact@yoveo.com,Finance,87344 Surrey Avenue,Paris,75000,France
150,Riffpedia,884-337-5002,contact@riffpedia.com,n/a,640 Dawn Trail,Lille,59000,France
151,Jabbersphere,905-388-3538,contact@jabbersphere.com,n/a,91 Caliangt Court,Rennes,35000,France
152,Gigaclub,478-964-1295,contact@gigaclub.com,Consumer Services,446 Mcbride Trail,Rennes,35000,France
153,Tazzy,403-632-0194,contact@tazzy.com,Technology,0177 Memorial Court,Paris,75000,France
154,Avamba,283-597-9832,contact@avamba.com,Technology,2516 Hovde Plaza,Lille,59000,France
155,Youfeed,394-347-9510,contact@youfeed.com,Consumer Services,3 Erie Terrace,Nantes,44000,France
156,Zoomdog,201-299-3354,contact@zoomdog.com,Consumer Services,6240 Milwaukee Circle,Rennes,35000,France
157,Topicblab,978-566-4135,contact@topicblab.com,Capital Goods,0 Bobwhite Center,Nantes,44000,France
158,Nlounge,625-349-7618,contact@nlounge.com,Basic Industries,646 Eagan Avenue,Lille,59000,France
159,Trudoo,433-745-9826,contact@trudoo.com,Technology,7094 Moulton Way,Rennes,35000,France
160,Skiba,841-695-6539,contact@skiba.com,Basic Industries,86566 Morningstar Court,Lille,59000,France
161,Quimm,342-665-5080,contact@quimm.com,Finance,0 Crest Line Drive,Lille,59000,France
162,Skinte,184-431-1729,contact@skinte.com,Consumer Services,0 Upham Drive,Nantes,44000,France
163,Vidoo,665-176-3700,contact@vidoo.com,Capital Goods,236 Novick Junction,Rennes,35000,France
164,Lazz,743-839-1085,contact@lazz.com,Finance,88458 Marcy Circle,Nantes,44000,France
165,Photojam,416-192-4679,contact@photojam.com,Consumer Non-Durables,19079 Moose Circle,Paris,75000,France
166,Twitterbridge,939-696-1500,contact@twitterbridge.com,Finance,32 Charing Cross Place,Nantes,44000,France
167,Riffpedia,379-696-6244,contact@riffpedia.com,Consumer Durables,0 Sunnyside Lane,Paris,75000,France
168,Snaptags,576-867-5080,contact@snaptags.com,Consumer Non-Durables,79632 Morrow Point,Paris,75000,France
169,Riffpath,787-354-9689,contact@riffpath.com,Health Care,14089 Mockingbird Center,Rennes,35000,France
170,Wordware,717-345-7060,contact@wordware.com,Energy,913 5th Circle,Nantes,44000,France
171,Kayveo,136-276-1644,contact@kayveo.com,Capital Goods,1 Norway Maple Park,Rennes,35000,France
172,Vitz,880-415-3397,contact@vitz.com,Finance,3 Stone Corner Lane,Rennes,35000,France
173,Linktype,745-732-6890,contact@linktype.com,Capital Goods,5967 Banding Junction,Paris,75000,France
174,Snaptags,970-409-3162,contact@snaptags.com,Health Care,473 Hayes Road,Paris,75000,France
175,Browseblab,798-944-8643,contact@browseblab.com,Public Utilities,961 Oriole Court,Paris,75000,France
176,Centizu,405-923-6567,contact@centizu.com,Capital Goods,27 Sachtjen Road,Nantes,44000,France
177,Zoonder,157-206-6673,contact@zoonder.com,n/a,1 Hansons Drive,Rennes,35000,France
178,Oodoo,315-706-2467,contact@oodoo.com,Health Care,3425 Holmberg Circle,Nantes,44000,France
179,BlogXS,715-359-7875,contact@blogxs.com,n/a,34902 Debs Place,Paris,75000,France
180,Eimbee,306-806-8777,contact@eimbee.com,Finance,2130 Bartelt Junction,Rennes,35000,France
181,Nlounge,872-694-2354,contact@nlounge.com,Energy,16 East Place,Paris,75000,France
182,Thoughtblab,495-535-3606,contact@thoughtblab.com,Health Care,680 Pawling Drive,Lille,59000,France
183,Zoomcast,830-188-5378,contact@zoomcast.com,Consumer Services,765 Kipling Parkway,Lille,59000,France
184,Tagopia,390-304-3038,contact@tagopia.com,Basic Industries,07 Charing Cross Circle,Paris,75000,France
185,Dynabox,682-991-3883,contact@dynabox.com,n/a,50 Transport Trail,Rennes,35000,France
186,Linktype,997-713-0093,contact@linktype.com,n/a,85 Meadow Ridge Court,Lille,59000,France
187,Skinte,586-271-4882,contact@skinte.com,Energy,34976 Village Hill,Lille,59000,France
188,Brainverse,885-622-7599,contact@brainverse.com,Consumer Durables,166 Prairieview Center,Nantes,44000,France
189,Skimia,905-383-3232,contact@skimia.com,Technology,8 Gale Place,Rennes,35000,France
190,Meedoo,206-683-3401,contact@meedoo.com,Finance,04 Di Loreto Avenue,Rennes,35000,France
191,Realmix,899-723-6781,contact@realmix.com,Health Care,4 Golf Park,Paris,75000,France
192,Jabberstorm,338-190-9463,contact@jabberstorm.com,n/a,3 Florence Place,Paris,75000,France
193,Zazio,593-795-6451,contact@zazio.com,n/a,84214 Little Fleur Drive,Lille,59000,France
194,Quinu,990-523-5304,contact@quinu.com,n/a,38307 Cody Place,Rennes,35000,France
195,Gabspot,462-762-5689,contact@gabspot.com,n/a,4 Barnett Way,Paris,75000,France
196,Edgeclub,898-555-2962,contact@edgeclub.com,Health Care,550 Bowman Trail,Lille,59000,France
197,Latz,744-987-7102,contact@latz.com,n/a,41 Vidon Junction,Rennes,35000,France
198,Mita,108-801-1536,contact@mita.com,n/a,0826 Orin Hill,Nantes,44000,France
199,Jaxspan,470-422-0970,contact@jaxspan.com,Finance,5 Autumn Leaf Drive,Rennes,35000,France
200,Fiveclub,626-878-2936,contact@fiveclub.com,Technology,176 Bobwhite Center,Rennes,35000,France
201,Abata,248-929-9362,contact@abata.com,Health Care,885 Lakeland Alley,Paris,75000,France
202,Skimia,904-809-6512,contact@skimia.com,Finance,1645 Rusk Hill,Nantes,44000,France
203,LiveZ,246-562-7240,contact@livez.com,n/a,6767 Schiller Plaza,Lille,59000,France
204,Wikizz,222-333-2834,contact@wikizz.com,Consumer Services,362 Carberry Alley,Lille,59000,France
205,Skidoo,670-893-9713,contact@skidoo.com,Capital Goods,4 Debra Avenue,Nantes,44000,France
206,Nlounge,766-913-0758,contact@nlounge.com,Consumer Durables,64858 Badeau Alley,Rennes,35000,France
207,Quinu,420-245-9002,contact@quinu.com,Technology,86622 Marcy Avenue,Paris,75000,France
208,Kwinu,411-945-1052,contact@kwinu.com,n/a,792 Shoshone Crossing,Lille,59000,France
209,Abata,602-377-9395,contact@abata.com,Basic Industries,6134 Tomscot Lane,Rennes,35000,France
210,Einti,198-750-0572,contact@einti.com,Finance,815 Roxbury Avenue,Lille,59000,France
211,Buzzshare,208-165-6648,contact@buzzshare.com,Consumer Services,6 Weeping Birch Avenue,Rennes,35000,France
212,Mynte,340-379-1054,contact@mynte.com,n/a,9 Arapahoe Pass,Nantes,44000,France
213,InnoZ,489-661-1481,contact@innoz.com,Consumer Services,0721 Lukken Junction,Lille,59000,France
214,Flipbug,951-446-9194,contact@flipbug.com,Health Care,6 Lakeland Point,Paris,75000,France
215,Divape,767-333-0327,contact@divape.com,Capital Goods,8 Starling Point,Lille,59000,France
216,Oodoo,286-293-6629,contact@oodoo.com,Finance,94068 Mockingbird Center,Paris,75000,France
217,Mita,924-758-7744,contact@mita.com,Consumer Services,908 Graedel Plaza,Paris,75000,France
218,Demivee,154-398-4057,contact@demivee.com,Technology,51884 Valley Edge Place,Rennes,35000,France
219,Kwinu,276-629-1817,contact@kwinu.com,Finance,5 Texas Trail,Paris,75000,France
220,Topicshots,403-818-6726,contact@topicshots.com,Consumer Services,2 Ronald Regan Drive,Nantes,44000,France
221,Mita,531-404-5251,contact@mita.com,Basic Industries,8 Kings Court,Nantes,44000,France
222,Feedfire,146-938-3819,contact@feedfire.com,Finance,10 Elgar Court,Nantes,44000,France
223,Jabberstorm,379-900-4583,contact@jabberstorm.com,Health Care,058 Portage Street,Lille,59000,France
224,Wordpedia,996-760-3434,contact@wordpedia.com,n/a,89708 Calypso Lane,Rennes,35000,France
225,Blogspan,432-378-6448,contact@blogspan.com,Consumer Services,38437 Sundown Center,Paris,75000,France
226,Babbleblab,701-407-9556,contact@babbleblab.com,Consumer Services,12314 Jackson Park,Paris,75000,France
227,DabZ,390-902-3928,contact@dabz.com,Public Utilities,7 Pankratz Plaza,Rennes,35000,France
228,Wikido,917-221-2877,contact@wikido.com,Basic Industries,9 Morningstar Plaza,Paris,75000,France
229,Kayveo,998-402-4384,contact@kayveo.com,Finance,20 Veith Center,Rennes,35000,France
230,Gevee,555-535-3098,contact@gevee.com,n/a,609 Spenser Alley,Paris,75000,France
231,Geba,114-703-9261,contact@geba.com,Energy,5663 Morning Trail,Rennes,35000,France
232,Vitz,195-635-7614,contact@vitz.com,Health Care,7328 Quincy Court,Rennes,35000,France
233,Twimbo,849-747-3214,contact@twimbo.com,n/a,85282 Blue Bill Park Street,Rennes,35000,France
234,Jaxworks,231-136-4771,contact@jaxworks.com,Public Utilities,9 Dexter Avenue,Nantes,44000,France
235,Viva,173-747-8117,contact@viva.com,Transportation,252 Declaration Trail,Nantes,44000,France
236,Aibox,559-107-9891,contact@aibox.com,Consumer Services,80 Hoard Parkway,Paris,75000,France
237,Leexo,660-420-0958,contact@leexo.com,n/a,5914 Glendale Drive,Nantes,44000,France
238,Vinder,527-297-7930,contact@vinder.com,Consumer Non-Durables,15 Westerfield Place,Paris,75000,France
239,Skimia,620-905-2218,contact@skimia.com,Basic Industries,110 Vera Crossing,Nantes,44000,France
240,Yodoo,164-658-2303,contact@yodoo.com,Consumer Non-Durables,765 Vera Alley,Paris,75000,France
241,Youfeed,760-621-6266,contact@youfeed.com,Consumer Services,95482 Raven Park,Paris,75000,France
242,Rhynoodle,730-234-6025,contact@rhynoodle.com,n/a,725 Oakridge Junction,Rennes,35000,France
243,Mydeo,686-470-5937,contact@mydeo.com,Energy,74353 Independence Court,Rennes,35000,France
244,Quatz,545-381-3693,contact@quatz.com,Energy,43 Emmet Place,Rennes,35000,France
245,Mynte,690-220-0536,contact@mynte.com,Health Care,6 Springs Court,Paris,75000,France
246,Devpoint,612-147-7628,contact@devpoint.com,Capital Goods,654 Susan Plaza,Nantes,44000,France
247,Skinte,210-356-9064,contact@skinte.com,Basic Industries,7586 Anniversary Alley,Lille,59000,France
248,Quinu,976-940-5959,contact@quinu.com,Public Utilities,0063 Brown Lane,Lille,59000,France
249,Skiptube,501-569-0812,contact@skiptube.com,Finance,16012 Meadow Valley Street,Rennes,35000,France
250,Oyondu,841-936-3959,contact@oyondu.com,Capital Goods,914 Jenna Way,Lille,59000,France
251,Podcat,803-482-0132,contact@podcat.com,n/a,280 Londonderry Trail,Lille,59000,France
252,Dabtype,449-275-8420,contact@dabtype.com,Public Utilities,8 Fisk Place,Paris,75000,France
253,Rhyloo,276-728-5780,contact@rhyloo.com,Public Utilities,652 Comanche Court,Lille,59000,France
254,Eare,892-941-7020,contact@eare.com,n/a,1 Knutson Junction,Lille,59000,France
255,Fivechat,649-668-8943,contact@fivechat.com,Basic Industries,54 Randy Pass,Rennes,35000,France
256,Avamba,655-148-9460,contact@avamba.com,Technology,9589 3rd Circle,Rennes,35000,France
257,Topicblab,138-246-9591,contact@topicblab.com,Technology,36330 Buhler Center,Rennes,35000,France
258,Babblestorm,831-197-9652,contact@babblestorm.com,Energy,911 Briar Crest Hill,Paris,75000,France
259,Camimbo,259-682-4728,contact@camimbo.com,Health Care,145 Orin Terrace,Paris,75000,France
260,Skilith,594-362-8797,contact@skilith.com,Miscellaneous,98 Briar Crest Street,Nantes,44000,France
261,Bubblemix,303-419-8041,contact@bubblemix.com,Consumer Services,35043 Fairfield Court,Paris,75000,France
262,Photojam,164-749-6122,contact@photojam.com,Consumer Durables,2 Buena Vista Place,Paris,75000,France
263,Blognation,449-520-6615,contact@blognation.com,Consumer Non-Durables,387 Continental Alley,Paris,75000,France
264,Eamia,873-944-6970,contact@eamia.com,Health Care,5530 Express Crossing,Rennes,35000,France
265,LiveZ,744-604-3283,contact@livez.com,Health Care,80250 Oxford Trail,Paris,75000,France
266,Eidel,703-504-3122,contact@eidel.com,Basic Industries,20668 Dottie Street,Nantes,44000,France
267,Blogtags,127-835-7831,contact@blogtags.com,Consumer Durables,2219 Hoepker Court,Lille,59000,France
268,Meetz,327-390-5351,contact@meetz.com,Public Utilities,3290 Briar Crest Park,Lille,59000,France
269,Podcat,213-768-8784,contact@podcat.com,n/a,98416 Jay Court,Nantes,44000,France
270,Kayveo,376-760-6116,contact@kayveo.com,Finance,492 Welch Point,Lille,59000,France
271,Demimbu,898-702-1344,contact@demimbu.com,Health Care,0 Corry Parkway,Lille,59000,France
272,Feedfire,691-399-6434,contact@feedfire.com,Consumer Services,8810 Nelson Center,Lille,59000,France
273,Kwilith,556-416-7475,contact@kwilith.com,Consumer Non-Durables,2 Butterfield Hill,Rennes,35000,France
274,Vinte,685-706-4744,contact@vinte.com,n/a,0 North Road,Paris,75000,France
275,Kazio,900-731-9642,contact@kazio.com,Finance,1 Pleasure Lane,Nantes,44000,France
276,Browseblab,283-569-8582,contact@browseblab.com,Energy,171 Bobwhite Circle,Paris,75000,France
277,Pixoboo,747-908-1084,contact@pixoboo.com,Technology,1 Jackson Way,Paris,75000,France
278,Bluezoom,485-345-0098,contact@bluezoom.com,Finance,88 Schmedeman Point,Paris,75000,France
279,Meevee,277-598-2632,contact@meevee.com,Health Care,9039 Tennessee Trail,Paris,75000,France
280,Tanoodle,597-717-6592,contact@tanoodle.com,Health Care,67 Lunder Junction,Nantes,44000,France
